pax_fcny,dist_cnt_y3,avg_dist_cnt_y2,avg_dist_cnt_y3,dist_all_cnt_y3,tkt_3y_amt,tkt_i_amt_y3,tkt_all_amt_y3,tkt_avg_amt_y2,tkt_avg_amt_y3,emd_lable2
4161.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1670.0,0,4986.666667,4986.666667,0,0.0,8850.67,9760.67,3253.556667,3253.556667,0
243.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1362.0,21675,10808.0,10837.5,21675,4334.43,9030.06,9030.06,0.0,4515.03,0
675.0,28705,0.0,0.0,28705,4392.89,0.0,0.0,0.0,0.0,1
250.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
700.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1222.0,37372,0.0,0.0,37372,5484.51,0.0,0.0,0.0,0.0,1
200.0,0,7684.5,7684.5,0,0.0,1255.28,1255.28,313.82,313.82,0
302.0,0,0.0,6085.75,0,0.0,2080.96,2080.96,0.0,520.24,0
652.0,0,11678.0,12193.6,0,0.0,26755.66,26755.66,3021.678,5351.132,0
240.0,23608,0.0,0.0,23608,1585.62,0.0,0.0,0.0,0.0,0
465.0,0,6974.0,6974.0,0,0.0,2918.52,2918.52,1459.26,1459.26,0
150.0,27869,0.0,0.0,27869,994.5,0.0,0.0,0.0,0.0,0
220000.0,23713,0.0,0.0,23713,1295.24,0.0,0.0,0.0,0.0,0
450.0,27713,6913.5,6928.25,27713,3021.65,3021.65,3021.65,0.0,755.4125,0
388.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
950.0,0,7176.25,7176.25,0,0.0,3707.03,3707.03,926.7575,926.7575,0
111.0,51047,4030.0,3002.764706,51047,6419.0,4029.0,8749.0,377.5882353,514.6470588,0
215.0,25783,0.0,0.0,25783,1270.86,0.0,0.0,0.0,0.0,0
300.0,14641,0.0,0.0,14641,813.75,0.0,0.0,0.0,0.0,0
1995.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,57366,0.0,0.0,57366,5060.0,0.0,0.0,0.0,0.0,1
470.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
903.0,0,5894.857143,6783.0,0,0.0,7347.16,7544.99,860.7375,943.12375,0
200.0,0,5894.857143,6783.0,0,0.0,7347.16,7544.99,860.7375,943.12375,0
290.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
61500.0,30239,7559.75,7559.75,30239,3733.66,3733.66,3733.66,933.415,933.415,0
3515.0,12934,0.0,0.0,12934,23372.29,0.0,0.0,0.0,0.0,0
2350.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
690.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1326.0,28800,0.0,0.0,28800,15468.15,0.0,0.0,0.0,0.0,0
2492.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
2890.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
290.0,25485,0.0,0.0,25485,1550.45,0.0,0.0,0.0,0.0,0
1844.0,28705,7176.25,7176.25,28705,11815.98,11815.98,11815.98,2953.995,2953.995,0
135.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
300.0,0,5974.25,5974.25,0,0.0,1787.52,1952.37,488.0925,488.0925,0
756.0,0,2764.0,6064.666667,0,0.0,4221.4,4221.4,211.6366667,1407.133333,0
2915.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
320.0,8520,0.0,0.0,8520,606.28,0.0,0.0,0.0,0.0,0
1024.0,26478,0.0,0.0,26478,9824.84,0.0,0.0,0.0,0.0,0
1036.0,26478,0.0,0.0,26478,9824.84,0.0,0.0,0.0,0.0,0
1012.0,26478,0.0,0.0,26478,9824.84,0.0,0.0,0.0,0.0,0
903.0,26478,0.0,0.0,26478,9824.84,0.0,0.0,0.0,0.0,0
3276.0,45494,0.0,0.0,45494,70511.25,0.0,0.0,0.0,0.0,0
1316.0,0,10128.75,10128.75,0,0.0,21277.81,21277.81,5319.4525,5319.4525,0
57500.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
566.0,50374,12458.0,12593.5,50374,6808.27,8196.72,8196.72,1111.035,2049.18,0
2100.0,45482,0.0,0.0,45482,20499.87,0.0,0.0,0.0,0.0,0
285000.0,0,5975.5,5975.5,0,0.0,1683.04,1683.04,420.76,420.76,0
704.0,0,10318.0,10318.0,0,0.0,12667.02,12667.02,3166.755,3166.755,1
550.0,13673,6836.5,6836.5,13673,3756.12,3756.12,3756.12,1878.06,1878.06,0
120.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
550.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1983.0,0,10808.0,10808.0,0,0.0,12446.1,12446.1,12446.1,12446.1,0
2181.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1767.0,65346,0.0,0.0,65346,22400.41,0.0,0.0,0.0,0.0,0
3230.0,55143,0.0,0.0,55143,38352.7,0.0,0.0,0.0,0.0,0
313.0,0,12967.0,12967.0,0,0.0,2101.74,2101.74,525.435,1050.87,0
510.0,12254,0.0,0.0,12254,2126.27,0.0,0.0,0.0,0.0,0
300.0,29761,4043.0,7440.25,29761,979.89,1462.52,1462.52,0.0,365.63,0
235.0,0,7709.333333,9032.0,0,0.0,1577.98,1577.98,197.2475,394.495,0
380.0,0,0.0,5993.0,0,0.0,2446.97,2620.33,0.0,1310.165,0
353.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1260.0,49316,0.0,0.0,49316,20520.58,0.0,0.0,0.0,0.0,0
1485.0,49316,0.0,0.0,49316,20520.58,0.0,0.0,0.0,0.0,0
390.0,28602,0.0,0.0,28602,2618.77,0.0,0.0,0.0,0.0,0
495.0,23675,0.0,0.0,23675,3221.4,0.0,0.0,0.0,0.0,0
390000.0,28705,0.0,0.0,28705,2318.94,0.0,0.0,0.0,0.0,0
570.0,0,8168.0,8168.0,0,0.0,3652.44,3652.44,913.11,913.11,1
1080.0,30444,0.0,0.0,30444,6953.87,0.0,0.0,0.0,0.0,0
194.0,23191,7730.333333,7730.333333,23191,1769.94,1769.94,1769.94,589.98,589.98,1
610.0,24674,0.0,0.0,24674,4203.27,0.0,0.0,0.0,0.0,0
2814.0,69285,0.0,0.0,69285,43472.78,0.0,0.0,0.0,0.0,0
2670.0,16977,0.0,0.0,16977,17639.89,0.0,0.0,0.0,0.0,0
109.0,0,0.0,4839.333333,0,0.0,419.33,419.33,0.0,139.7766667,0
